date,value
1/31/1975,29.18464
2/28/1975,33.30946
3/31/1975,41.93559
4/30/1975,56.61779
5/30/1975,64.63995
6/30/1975,69.52162
7/31/1975,68.11622
8/29/1975,59.98363
9/30/1975,67.10361
10/31/1975,73.55846
11/28/1975,72.00471
12/31/1975,70.17786
1/30/1976,70.731
2/27/1976,77.50866
3/31/1976,73.33693
4/30/1976,71.93955
5/31/1976,70.59141
6/30/1976,74.08428
7/30/1976,73.90692
8/31/1976,74.93005
9/30/1976,70.30175
10/29/1976,70.09361
11/30/1976,68.46764
12/31/1976,67.56624
1/31/1977,68.39851
2/28/1977,60.47171
3/31/1977,56.39485
4/29/1977,50.38973
5/31/1977,46.26643
6/30/1977,40.0078
7/29/1977,42.2721
8/31/1977,40.48398
9/30/1977,42.6509
10/31/1977,31.98222
11/30/1977,31.09293
12/30/1977,40.73185
1/31/1978,35.97601
2/28/1978,39.02021
3/31/1978,38.53718
4/28/1978,37.39808
5/31/1978,37.28684
6/30/1978,40.59447
7/31/1978,43.90245
8/31/1978,42.54958
9/29/1978,39.98277
10/31/1978,52.96
11/30/1978,48.27261
12/29/1978,36.96534
1/31/1979,35.64351
2/28/1979,30.72911
3/30/1979,41.24192
4/30/1979,33.6556
5/31/1979,32.06705
6/29/1979,23.04999
7/31/1979,20.57348
8/31/1979,22.75569
9/28/1979,19.02779
10/31/1979,18.89884
11/30/1979,27.66657
12/31/1979,29.64766
1/31/1980,41.04619
2/29/1980,43.5922
3/31/1980,43.12916
4/30/1980,50.75643
5/30/1980,51.13332
6/30/1980,56.58482
7/31/1980,61.09713
8/29/1980,69.05336
9/30/1980,74.28287
10/31/1980,76.35077
11/28/1980,71.98491
12/31/1980,73.86769
1/30/1981,71.19619
2/27/1981,74.41919
3/31/1981,70.86971
4/30/1981,65.06354
5/29/1981,60.51672
6/30/1981,61.7592
7/31/1981,57.61465
8/31/1981,55.21833
9/30/1981,51.33198
10/30/1981,50.23484
11/30/1981,48.84192
12/31/1981,52.05776
1/29/1982,51.55696
2/26/1982,52.07497
3/31/1982,49.22476
4/30/1982,60.04197
5/31/1982,60.0895
6/30/1982,56.30169
7/30/1982,66.49533
8/31/1982,69.00274
9/30/1982,71.86853
10/29/1982,77.13632
11/30/1982,81.79486
12/31/1982,80.10237
1/31/1983,78.83609
2/28/1983,80.70384
3/31/1983,86.11608
4/29/1983,80.03064
5/31/1983,82.97905
6/30/1983,85.92
7/29/1983,81.02581
8/31/1983,75.47992
9/30/1983,74.71075
10/31/1983,69.63464
11/30/1983,60.77436
12/30/1983,55.97414
1/31/1984,57.59952
2/29/1984,45.28418
3/30/1984,45.32752
4/30/1984,47.02779
5/31/1984,41.4546
6/29/1984,39.5983
7/31/1984,37.58214
8/31/1984,38.99761
9/28/1984,40.42532
10/31/1984,33.78653
11/30/1984,38.06742
12/31/1984,40.80977
1/31/1985,34.43419
2/28/1985,47.14655
3/29/1985,41.93236
4/30/1985,45.07314
5/31/1985,47.75482
6/28/1985,52.27675
7/31/1985,60.16412
8/30/1985,63.58522
9/30/1985,61.86637
10/31/1985,76.90918
11/29/1985,69.20305
12/31/1985,70.00239
1/31/1986,69.89169
2/28/1986,72.49766
3/31/1986,67.73199
4/30/1986,63.49273
5/30/1986,69.59085
6/30/1986,65.95318
7/31/1986,68.42903
8/29/1986,68.3203
9/30/1986,65.8351
10/31/1986,67.46103
11/28/1986,72.66901
12/31/1986,70.61783
1/30/1987,72.10865
2/27/1987,59.52076
3/31/1987,54.67184
4/30/1987,54.11036
5/29/1987,47.27059
6/30/1987,41.95901
7/31/1987,30.62292
8/31/1987,35.06723
9/30/1987,33.79357
10/30/1987,31.69724
11/30/1987,27.71985
12/31/1987,24.60162
1/29/1988,23.96898
2/29/1988,28.7346
3/31/1988,31.32675
4/29/1988,29.97021
5/31/1988,26.66638
6/30/1988,26.32165
7/29/1988,36.1818
8/31/1988,32.47898
9/30/1988,31.50869
10/31/1988,31.11073
11/30/1988,34.79384
12/30/1988,35.25067
1/31/1989,37.25041
2/28/1989,37.10749
3/31/1989,36.96645
4/28/1989,37.17518
5/31/1989,35.91559
6/30/1989,44.10897
7/31/1989,36.47969
8/31/1989,36.48009
9/29/1989,40.98592
10/31/1989,45.45444
11/30/1989,44.78939
12/29/1989,48.43761
1/31/1990,48.85257
2/28/1990,51.94665
3/30/1990,56.61031
4/30/1990,57.0047
5/31/1990,63.93556
6/29/1990,67.57364
7/31/1990,74.04668
8/31/1990,73.44169
9/28/1990,69.73952
10/31/1990,68.20029
11/30/1990,69.37725
12/31/1990,59.95537
1/31/1991,58.65631
2/28/1991,59.70568
3/29/1991,59.68207
4/30/1991,55.3661
5/31/1991,56.24561
6/28/1991,50.41444
7/31/1991,54.62538
8/30/1991,57.59969
9/30/1991,65.38128
10/31/1991,69.05585
11/29/1991,67.51064
12/31/1991,77.19468
1/31/1992,77.71173
2/28/1992,75.44701
3/31/1992,75.34733
4/30/1992,71.43599
5/29/1992,72.64334
6/30/1992,72.89821
7/31/1992,69.89176
8/31/1992,68.31636
9/30/1992,66.31742
10/30/1992,59.65409
11/30/1992,60.74114
12/31/1992,59.53517
1/29/1993,57.54891
2/26/1993,55.96399
3/31/1993,53.54357
4/30/1993,60.69292
5/31/1993,56.49793
6/30/1993,57.2257
7/30/1993,56.57997
8/31/1993,55.79657
9/30/1993,51.78718
10/29/1993,51.48938
11/30/1993,53.20364
12/31/1993,52.40744
1/31/1994,53.23824
2/28/1994,51.99002
3/31/1994,55.43282
4/29/1994,53.68204
5/31/1994,46.40432
6/30/1994,44.89054
7/29/1994,41.68808
8/31/1994,36.80478
9/30/1994,36.96317
10/31/1994,44.22575
11/30/1994,33.39465
12/30/1994,30.25538
1/31/1995,29.9282
2/28/1995,37.4232
3/31/1995,34.06389
4/28/1995,31.8586
5/31/1995,38.25789
6/30/1995,34.54678
7/31/1995,38.14616
8/31/1995,27.96375
9/29/1995,28.10248
10/31/1995,21.82584
11/30/1995,28.80085
12/29/1995,25.89427
1/31/1996,19.7182
2/29/1996,22.22963
3/29/1996,24.23408
4/30/1996,18.40207
5/31/1996,17.35898
6/28/1996,18.70979
7/31/1996,20.29961
8/30/1996,22.61242
9/30/1996,19.41591
10/31/1996,21.52959
11/29/1996,22.28838
12/31/1996,22.17588
1/31/1997,20.82948
2/28/1997,16.38824
3/31/1997,22.00295
4/30/1997,26.92072
5/30/1997,27.99056
6/30/1997,31.82739
7/31/1997,32.01628
8/29/1997,38.85055
9/30/1997,47.1581
10/31/1997,51.68346
11/28/1997,56.00505
12/31/1997,69.86493
1/30/1998,71.3695
2/27/1998,74.93779
3/31/1998,74.20512
4/30/1998,70.46296
5/29/1998,67.36187
6/30/1998,63.72224
7/31/1998,67.32947
8/31/1998,70.92782
9/30/1998,70.1995
10/30/1998,75.29166
11/30/1998,73.36412
12/31/1998,68.88739
1/29/1999,68.63053
2/26/1999,66.34939
3/31/1999,70.54827
4/30/1999,67.17985
5/31/1999,71.49345
6/30/1999,75.69601
7/30/1999,74.92202
8/31/1999,72.36246
9/30/1999,69.27028
10/29/1999,65.64742
11/30/1999,63.53788
12/31/1999,67.18875
1/31/2000,63.85031
2/29/2000,54.5687
3/31/2000,46.14938
4/28/2000,41.58273
5/31/2000,33.17922
6/30/2000,26.47234
7/31/2000,21.04408
8/31/2000,19.02019
9/29/2000,18.72377
10/31/2000,14.43062
11/30/2000,18.24685
12/29/2000,13.88869
1/31/2001,18.51129
2/28/2001,23.1878
3/30/2001,21.56344
4/30/2001,24.62048
5/31/2001,26.98377
6/29/2001,32.88877
7/31/2001,46.33757
8/31/2001,61.79137
9/28/2001,71.35203
10/31/2001,75.86851
11/30/2001,77.48897
12/31/2001,80.5685
1/31/2002,78.78071
2/28/2002,80.40334
3/29/2002,82.17968
4/30/2002,86.16783
5/31/2002,88.76111
6/28/2002,90.93317
7/31/2002,89.60268
8/30/2002,83.8747
9/30/2002,78.34677
10/31/2002,77.46447
11/29/2002,73.44125
12/31/2002,77.18801
1/31/2003,75.14979
2/28/2003,75.51592
3/31/2003,74.79376
4/30/2003,76.2632
5/30/2003,74.86575
6/30/2003,68.54688
7/31/2003,60.20127
8/29/2003,55.62058
9/30/2003,54.0274
10/31/2003,55.40335
11/28/2003,55.87552
12/31/2003,46.33903
1/30/2004,44.59762
2/27/2004,43.20419
3/31/2004,40.83463
4/30/2004,32.59107
5/31/2004,27.51426
6/30/2004,25.51232
7/30/2004,29.81988
8/31/2004,31.41392
9/30/2004,30.12022
10/29/2004,25.57018
11/30/2004,24.75494
12/31/2004,24.89232
1/31/2005,24.53515
2/28/2005,20.69035
3/31/2005,18.64037
4/29/2005,19.40084
5/31/2005,18.49002
6/30/2005,17.97524
7/29/2005,15.06964
8/31/2005,13.52069
9/30/2005,11.20552
10/31/2005,11.28119
11/30/2005,11.73531
12/30/2005,12.09334
1/31/2006,13.57068
2/28/2006,17.40468
3/31/2006,24.48046
4/28/2006,25.98358
5/31/2006,25.61355
6/30/2006,29.16919
7/31/2006,29.48458
8/31/2006,34.087
9/29/2006,40.58349
10/31/2006,42.56471
11/30/2006,41.30395
12/29/2006,42.07997
1/31/2007,41.84137
2/28/2007,34.39218
3/30/2007,36.10711
4/30/2007,32.99838
5/31/2007,26.67282
6/29/2007,32.86783
7/31/2007,36.32206
8/31/2007,50.69751
9/28/2007,43.06142
10/31/2007,28.27716
11/30/2007,25.7522
12/31/2007,24.72289
1/31/2008,22.36334
2/29/2008,32.99986
3/31/2008,29.56411
4/30/2008,26.49869
5/30/2008,40.06128
6/30/2008,42.82595
7/31/2008,43.34105
8/29/2008,40.52522
9/30/2008,77.47613
10/31/2008,92.83888
11/28/2008,93.54461
12/31/2008,91.00362
1/30/2009,89.025
2/27/2009,80.20594
3/31/2009,80.1865
4/30/2009,85.27876
5/29/2009,89.24915
6/30/2009,87.25584
7/31/2009,88.2028
8/31/2009,96.19857
9/30/2009,92.24249
10/30/2009,86.30314
11/30/2009,78.00097
12/31/2009,72.96574
1/29/2010,67.14131
2/26/2010,72.27065
3/31/2010,67.43078
4/30/2010,64.24987
5/31/2010,57.64956
6/30/2010,55.83005
7/30/2010,56.41135
8/31/2010,44.47697
9/30/2010,44.08578
10/29/2010,43.31753
11/30/2010,42.31798
12/31/2010,45.98986
1/31/2011,47.72567
2/28/2011,45.94891
3/31/2011,50.93626
4/29/2011,50.4135
5/31/2011,51.91847
6/30/2011,54.56464
7/29/2011,49.86889
8/31/2011,47.23663
9/30/2011,45.66995
10/31/2011,42.98937
11/30/2011,40.16045
12/30/2011,38.85141
1/31/2012,36.72741
2/29/2012,34.81031
3/30/2012,32.11766
4/30/2012,31.20391
5/31/2012,29.71736
6/29/2012,28.86891
7/31/2012,30.5097
8/31/2012,30.40623
9/28/2012,29.71423
10/31/2012,29.18095
11/30/2012,32.56142
12/31/2012,33.69156
1/31/2013,33.88673
2/28/2013,35.69785
3/29/2013,41.40821
4/30/2013,45.64518
5/31/2013,49.43244
6/28/2013,52.41577
7/31/2013,51.72422
8/30/2013,54.28339
9/30/2013,58.50513
10/31/2013,61.97815
11/29/2013,59.56173
12/31/2013,57.0299
1/31/2014,52.67197
2/28/2014,53.95282
3/31/2014,52.48186
4/30/2014,48.84228
5/30/2014,49.08058
6/30/2014,47.89184
7/31/2014,49.01707
8/29/2014,49.14536
9/30/2014,46.42778
10/31/2014,42.56094
11/28/2014,35.95803
12/31/2014,38.24166
1/30/2015,40.43384
2/27/2015,33.04614
3/31/2015,33.20057
4/30/2015,33.59964
5/29/2015,30.22668
6/30/2015,28.59312
7/31/2015,28.00978
8/31/2015,28.78042
9/30/2015,30.5451
10/30/2015,34.08846
11/30/2015,35.57525
12/31/2015,31.38987
1/29/2016,29.13453
2/29/2016,34.96513
3/31/2016,36.9963
4/29/2016,36.95136
5/31/2016,39.12858
6/30/2016,40.36295
7/29/2016,41.44838
8/31/2016,41.32867
9/30/2016,43.35775
10/31/2016,38.91416
11/30/2016,41.08617
12/30/2016,41.71868
1/31/2017,45.06954
2/28/2017,45.80948
3/31/2017,49.65976
4/28/2017,47.91975
5/31/2017,49.58671
6/30/2017,49.89425
7/31/2017,52.35487
8/31/2017,54.2594
9/29/2017,53.60402
10/31/2017,60.50133
11/30/2017,64.0458
12/29/2017,70.47073
1/31/2018,68.23655
2/28/2018,60.218
3/30/2018,45.5339
4/30/2018,41.5256
5/31/2018,38.37094
6/29/2018,39.63606
7/31/2018,34.39593
8/31/2018,27.84247
9/28/2018,27.29637
10/31/2018,26.51418
11/30/2018,23.64968
12/31/2018,25.78595
1/31/2019,26.69551
2/28/2019,29.44156
3/29/2019,32.02011
4/30/2019,37.19583
5/31/2019,42.43473
6/28/2019,44.5451
7/31/2019,47.10292
8/30/2019,54.17378
9/30/2019,54.63777
10/31/2019,61.3986
11/29/2019,63.7389
12/31/2019,67.49864
1/31/2020,66.76245
2/28/2020,70.05345
3/31/2020,91.99612
4/30/2020,98.18802
5/29/2020,97.30677
6/30/2020,94.96862
7/31/2020,94.93604
8/31/2020,94.43084
9/30/2020,93.24418
10/30/2020,92.27088
11/30/2020,92.82798
12/31/2020,91.57138
1/29/2021,90.94303
2/26/2021,89.93069
3/31/2021,80.87668
4/30/2021,71.24962
5/31/2021,66.6741
6/30/2021,62.15221
7/30/2021,59.77369
8/31/2021,87.24133
9/30/2021,81.3854
10/29/2021,76.09721
11/30/2021,69.64972
12/31/2021,65.71971
1/31/2022,61.89475
2/28/2022,57.80109
3/31/2022,49.98418
4/29/2022,38.77298
5/31/2022,33.78526
6/30/2022,32.53364
7/29/2022,33.39207
8/31/2022,22.42487
9/30/2022,17.39278
10/31/2022,17.91786
11/30/2022,20.8587
12/30/2022,19.2436
1/31/2023,22.81706
2/28/2023,22.75265
3/31/2023,27.73782
4/28/2023,24.78553
5/31/2023,27.43752
6/30/2023,30.27814
7/31/2023,28.32845
8/31/2023,35.19862
9/29/2023,33.73785
10/31/2023,36.51396
11/30/2023,38.94291
12/29/2023,33.72125
1/31/2024,36.2346
2/29/2024,41.29213
3/29/2024,34.84935
4/30/2024,30.5162
5/31/2024,36.6732
6/28/2024,36.84548
7/31/2024,43.04617
8/30/2024,48.52425
9/30/2024,40.23773
10/31/2024,49.44255
11/29/2024,50.21886
12/31/2024,40.31517
1/31/2025,49.37576
2/28/2025,46.51066
3/31/2025,49.27481
4/30/2025,53.34767
5/30/2025,53.19033
6/30/2025,61.40039
7/31/2025,66.291
8/29/2025,65.11458
9/30/2025,50.82616
10/31/2025,54.38507
11/28/2025,54.27401
12/31/2025,54.59086
